"Longitude"	"Latitude"	"Collector"	"Collection.Number"	"Genus"	"Species"	"Country"	"StateProvince"	"MinimumElevation"	"MaximumElevation"	"REPOSITORIO"	"SP"
"-59.6854736"	"-2.3153702"	"A. A. de Oliveira"	"278"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	50	125	220947	"P. aracouchini"
"-39.08"	"-15.15"	"S. C. de Sant'Ana"	"279"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-52.5817"	"-1.52333"	"M. R. dos Santos"	"282"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-68.5121369"	"0.2251762"	"R. Spruce"	"2824"	"Protium"	"elegans"	"Brazil"		"NA"	"NA"	220947	"P. elegans"
"-68.5121369"	"0.2251762"	"R. Spruce"	"2824"	"Protium"	"elegans"	"Brazil"		"NA"	"NA"	220947	"P. elegans"
"-59.97"	"-2.883333"	"J. F. Ramos"	"2831"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-77.62"	"-1.07"	"W. A. Palacios"	"2838"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	450	450	220947	"P. aracouchini"
"-59.97"	"-2.883333"	"J. F. Ramos"	"2840"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-77.08"	"-0.33"	"D. Rubio"	"287"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	250	250	220947	"P. aracouchini"
"-45.2508"	"-3.4919"	"W. L. Bal?e"	"288"	"Protium"	"aracouchini"	"Brazil"	"Maranh?o"	"NA"	"NA"	220947	"P. aracouchini"
"-77.62"	"-1.07"	"J. Homeier"	"2893"	"Protium"	"aracouchini"	"Ecuador"	"Napo"	425	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"O. P. Monteiro"	"290"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-61.7961"	"-1.1161"	"D. C. Zappi"	"2931"	"Protium"	"calanense"	"Brazil"	"Roraima"	"NA"	"NA"	220947	"P. calanense"
"-64.7750473"	"-3.5795554"	"C. E. Calder?n"	"2949"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-39.4792"	"-13.6869"	"S. C. de Sant'Ana"	"296"	"Protium"	"aracouchini"	"Brazil"	"Bahia"	380	600	220947	"P. aracouchini"
"-64.93"	"5.37"	"S. Elcoro"	"303"	"Protium"	"aracouchini"	"Venezuela"	"Bol?var"	470	470	220947	"P. aracouchini"
"-66.1"	"5.63"	"B. K. Holst"	"3047"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	150	"NA"	220947	"P. aracouchini"
"-66.1"	"5.63"	"B. K. Holst"	"3051"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	150	"NA"	220947	"P. aracouchini"
"-66.1"	"5.63"	"B. K. Holst"	"3061"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	200	300	220947	"P. aracouchini"
"-39.2481074"	"-15.2189248"	"T. S. dos Santos"	"307"	"Protium"	"calanense"	"Brazil"	"Bahia"	"NA"	"NA"	220947	"P. calanense"
"-57.266667"	"-3.716667"	"J. L. Zarucchi"	"3089"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-59.9281883"	"-2.9548699"	"G. T. Prance"	"3102"	"Protium"	"aracouchini"	"Brazil"	"Amazonas"	"NA"	"NA"	220947	"P. aracouchini"
"-47.6753533"	"-1.3224905"	"M. Kuhlmann"	"311"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-47.6753533"	"-1.3224905"	"M. Kuhlmann"	"311"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
-60	-13	"B. W. Nelson"	"313"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	"NA"	"NA"	220947	"P. aracouchini"
"-47.5378"	"-4.4361"	"M. G. da Silva"	"3139"	"Protium"	"aracouchini"	"Brazil"	"Par?"	"NA"	"NA"	220947	"P. aracouchini"
"-76.2"	"-0.98"	"M. Aulestia"	"3189"	"Protium"	"aracouchini"	"Ecuador"		235	235	220947	"P. aracouchini"
"-66.13"	"0.83"	"W. W. Thomas"	"3192"	"Protium"	"aracouchini"	"Venezuela"	"Amazonas"	160	160	220947	"P. aracouchini"
"-62.9"	"-9.1233"	"G. Vieira"	"320"	"Protium"	"aracouchini"	"Brazil"	"Rond?nia"	112	112	220947	"P. aracouchini"
